episode_number,pitch_number,brand_name,idea,Category,Male_rating,Female_rating,deal,pitcher_ask_amount,ask_equity,ask_valuation,deal_amount,deal_equity,deal_valuation,ashneer_present,anupam_present,aman_present,namita_present,vineeta_present,peyush_present,ghazal_present,ashneer_deal,anupam_deal,aman_deal,namita_deal,vineeta_deal,peyush_deal,ghazal_deal,total_sharks_invested,amount_per_shark,equity_per_shark
1,1,BluePine Industries,Frozen Momos,4,2.9375,2.9375,1,50,5,1000,75,16,468.75,1,1,1,1,1,0,0,1,0,1,0,1,0,0,3,25,5.333333333
1,2,Booz scooters,Renting e-bike for mobility in private spaces,2,3.71875,3.4375,1,40,15,266.67,40,50,80,1,1,1,1,1,0,0,1,0,0,0,1,0,0,2,20,25
1,3,Heart up my Sleeves,Detachable Sleeves,8,3.03125,2.9375,1,25,10,250,25,30,83.33,1,1,1,1,1,0,0,0,1,0,0,1,0,0,2,12.5,15
2,4,Tagz Foods,Healthy Potato Chips,4,3.40625,3.3125,1,70,1,7000,70,2.75,2545.45,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,70,2.75
2,5,Head and Heart,Brain Development Course,3,3.65625,3.34375,0,50,5,1000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,6,Agro tourism,Tourism,2,3.59375,3.59375,0,50,5,1000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,7,Qzense Labs,Food Freshness Detector,4,3.71875,3.5,0,100,0.25,40000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,8,Peeschute,Disposable Urine Bag,9,3.75,3.25,1,75,4,1875,75,6,1250,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,75,6
3,9,NOCD,Energy Drink,4,3.5625,3.53125,1,50,2,2500,20,15,133.33,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,20,15
4,10,Cosiq,Intelligent Skincare,8,3.28125,3.40625,1,50,7.5,666.67,50,25,200,1,1,1,1,1,0,0,0,1,0,0,1,0,0,2,25,12.5
4,11,JhaJi Achaar,Pickle,4,3.40625,3.1875,0,50,10,500,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,12,Bummer,Underwear,8,3.15625,3.21875,1,75,4,1875,75,7.5,1000,1,1,1,1,1,0,0,0,0,1,1,0,0,0,2,37.5,3.75
5,13,Revamp Moto,E-Bike,10,3.84375,3.6875,1,100,1,10000,100,1.5,6666.67,1,1,1,1,1,0,0,0,1,1,0,0,0,0,2,50,0.75
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,6,2.21875,2.375,0,50,5,1000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,15,Shrawani Engineers,Belly Button Shaper,0,1,1,0,10,20,50,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,16,Skippi Pops,Ice-Pops,4,2.84375,3.3125,1,45,5,900,100,15,666.67,1,1,1,1,1,0,0,1,1,1,1,1,0,0,5,20,3
6,17,Menstrupedia,Menstrual Awareness Comic,9,4.03125,3.75,1,50,10,500,50,20,250,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,50,20
6,18,Hecolll,Pollution Resistant Fabric,8,3.75,3.78125,0,100,1,10000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,19,Raising Superstars,Child Development App,3,3.53125,3.5,0,100,2,5000,100,4,2500,1,1,1,1,1,0,0,1,0,1,0,0,0,0,2,50,2
7,20,Torch-it,Gadgets for visually impaired people,9,4.34375,4,1,75,1,7500,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
